Move,0,1,2,3,4,5,6,7,8
3,o,x,x,1,o,o,1,x,1
3,o,x,x,1,o,o,1,1,x
3,o,x,x,x,o,o,1,1,1
3,o,x,o,2,1,x,x,o,1
3,o,x,o,1,x,2,x,o,2
3,o,x,o,2,1,1,x,o,x
3,1,o,x,o,x,1,o,x,1
3,1,x,o,2,o,x,x,o,5
3,1,o,x,x,1,o,o,x,1
3,x,o,x,1,1,o,o,x,1
3,4,x,o,1,2,x,x,o,o
3,o,o,x,1,x,1,o,x,1
3,1,o,x,o,x,1,o,1,x
3,1,o,x,x,o,1,o,1,x
3,x,o,x,1,1,o,o,1,x
3,x,2,o,1,1,x,x,o,o
3,o,o,x,1,x,1,o,1,x
3,1,o,x,x,x,1,o,o,1
3,1,o,x,x,x,1,o,1,o
3,1,3,o,o,x,x,x,o,1
3,o,o,x,x,x,1,o,1,1
3,x,o,x,1,x,1,o,1,o
3,3,0,o,o,x,1,x,o,x
3,x,o,x,1,1,1,o,o,x
3,x,o,x,1,o,1,o,1,x
3,1,o,x,o,x,1,1,o,x
3,o,o,x,x,1,1,1,o,x
3,o,o,x,1,x,1,1,o,x
3,1,o,x,x,x,1,1,o,o
3,1,o,x,x,x,o,1,o,1
3,o,o,x,x,x,1,1,o,1
3,x,o,x,1,x,1,1,o,o
3,x,o,x,1,1,o,x,o,1
3,x,o,x,1,x,o,1,o,1
3,1,o,x,o,x,1,1,x,o
3,o,x,1,2,o,x,x,o,1
3,o,x,1,2,o,3,x,o,x
3,o,x,1,o,2,1,x,o,x
3,o,o,x,x,1,1,1,x,o
3,o,o,x,1,x,1,1,x,o
3,o,1,0,1,x,x,x,o,o
3,x,o,x,1,1,o,x,1,o
3,x,o,x,1,x,o,1,1,o
3,1,o,x,o,o,1,x,1,x
3,o,o,x,o,1,1,x,1,x
3,x,o,x,o,1,o,1,x,1
3,o,o,x,o,x,1,1,x,1
3,x,o,x,o,1,o,1,1,x
3,o,o,x,o,x,1,1,1,x
3,0,1,1,o,x,o,x,o,x
3,x,o,x,1,o,o,x,1,1
3,o,o,x,1,o,1,x,1,x
3,1,o,x,x,o,o,1,x,1
3,x,o,x,1,o,o,1,x,1
3,1,x,1,4,o,x,x,o,o
3,x,o,x,1,o,o,1,1,x
3,o,o,x,x,o,1,1,1,x
3,o,o,x,x,1,o,1,x,1
3,1,x,1,o,x,0,x,o,o
3,o,o,x,x,x,o,1,1,1
3,1,o,o,x,x,o,1,x,1
3,1,x,o,x,1,x,o,o,1
3,1,x,o,x,x,1,o,1,o
3,4,1,o,o,x,x,o,x,1
3,4,1,o,x,x,o,o,x,1
3,o,x,o,1,1,x,o,x,1
3,o,x,o,1,x,x,o,1,1
3,o,o,7,1,x,x,o,x,1
3,1,x,o,x,o,x,1,o,1
3,1,x,o,x,x,o,1,o,1
3,o,x,o,x,1,x,1,o,1
3,1,x,o,o,x,x,1,o,1
3,0,o,0,x,x,29,o,x,o
3,1,x,o,x,o,1,1,x,o
3,o,x,o,x,1,x,1,1,o
3,o,1,0,x,x,0,o,x,o
3,1,x,1,x,4,o,o,x,o
3,0,1,4,x,x,o,o,x,o
3,1,x,o,x,o,o,1,x,1
3,o,x,o,1,o,x,1,x,1
3,o,x,o,x,o,x,1,1,1
